code,name,name_ar,latitude,longitude
1,Adrar,أدرار,27.9766155,-0.2039600
2,Chlef,الشلف,36.1691245,1.3539002
3,Laghouat,الأغواط,33.7873735,2.8829115
4,Oum El Bouaghi,أم البواقي,35.8726014,7.1180248
5,Batna,باتنة,35.5784266,6.1083422
6,Bejaia,بجاية,36.7695969,5.0085855
7,Biskra,بسكرة,34.8515041,5.7246709
8,Bechar,بشار,31.5965368,-2.4145248
9,Blida,البليدة,36.4803023,2.8009379
10,Bouira,البويرة,36.2084234,3.9250490
11,Tamanrasset,تمنراست,22.2746227,5.6754684
12,Tebessa,تبسة,35.4117259,8.1105450
13,Tlemcen,تلمسان,34.8959541,-1.3150979
14,Tiaret,تيارت,35.3599899,1.3916159
15,Tizi Ouzou,تيزي وزو,36.7002068,4.0759570
16,Alger,الجزائر,36.7538259,3.0578410
17,Djelfa,الجلفة,34.6672467,3.2993118
18,Jijel,جيجل,36.7962714,5.7504845
19,Setif,سطيف,36.1905173,5.4202134
20,Saida,سعيدة,34.8419450,0.1483583
21,Skikda,سكيكدة,36.8777912,6.9357204
22,Sidi Bel Abbes,سيدي بلعباس,35.2063340,-0.6301368
23,Annaba,عنابة,36.9184345,7.7452755
24,Guelma,قالمة,36.4569088,7.4334312
25,Constantine,قسنطينة,36.3194750,6.7370571
26,Medea,المدية,36.2838408,2.7728462
27,Mostaganem,مستغانم,35.9751841,0.1149273
28,M'Sila,المسيلة,35.7211476,4.5187283
29,Mascara,معسكر,35.3829980,0.1542592
30,Ouargla,ورقلة,31.8974000,5.3421000
31,Oran,وهران,35.7066928,-0.6405861
32,El Bayadh,البيض,33.6146000,1.0190000
33,Illizi,إليزي,26.5065999,8.4805870
34,Bordj Bou Arreridj,برج بوعريريج,36.0686488,4.7691823
35,Boumerdes,بومرداس,36.7564181,3.4917212
36,El Tarf,الطارف,36.7534258,8.2984543
37,Tindouf,تندوف,27.5972000,-8.1491000
38,Tissemsilt,تسمسيلت,35.6021906,1.8021870
39,El Oued,الوادي,33.3714492,6.8573436
40,Khenchela,خنشلة,35.4263293,7.1414137
41,Souk Ahras,سوق أهراس,36.2778490,7.9592299
42,Tipaza,تيبازة,36.5980966,2.4085379
43,Mila,ميلة,36.4514882,6.2487316
44,Ain Defla,عين الدفلى,36.1283915,2.1772514
45,Naama,النعامة,33.1950000,-0.3131000
46,Ain Temouchent,عين تموشنت,35.4040440,-1.0580975
47,Ghardaia,غرداية,32.5891743,3.7455655
48,Relizane,غليزان,35.6696000,0.5493000
49,Timimoun,تيميمون,29.2583330,0.2305560
50,Bordj Badji Mokhtar,برج باجي مختار,21.3277780,0.9555560
51,Ouled Djellal,أولاد جلال,34.4333330,5.0666670
52,Beni Abbes,بني عباس,30.1333330,-2.1666670
53,In Salah,عين صالح,27.1972220,2.4833330
54,In Guezzam,عين قزام,19.5722220,5.7694440
55,Touggourt,تقرت,33.1083330,6.0638890
56,Djanet,جانت,24.5541670,9.4847220
57,El M'Ghair,المغير,33.9472220,5.9222220
58,El Meniaa,المنيعة,30.5791670,2.8791670
59,Aflou,أفلو,34.1167000,2.1000000
60,Barika,بريكة,35.3833000,5.3667000
61,El Kantara,القنطرة,35.2167000,5.7000000
62,Bir El Ater,بئر العاتر,34.7500000,8.0500000
63,El Aricha,العريشة,34.2500000,-1.3500000
64,Ksar Chellala,قصر الشلالة,35.1667000,2.3167000
65,Ain Oussara,عين وسارة,35.4500000,2.9000000
66,Messaad,مسعد,34.1667000,3.5000000
67,Ksar El Boukhari,قصر البخاري,35.8833000,2.7500000
68,Bou Saada,بوسعادة,35.2167000,4.1833000
69,El Abiodh Sidi Cheikh,الأبيض سيدي الشيخ,32.9000000,0.5333000
